[2025-12-11 12:17:23:7] P9078_AxisSetParameter[1-1] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:23:8] P9078_AxisSetMinPositionLimit[1-1], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:9] P9078_AxisSetMaxPositionLimit[1-1], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:31] P9078_AxisSetParameter[1-2] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:23:32] P9078_AxisSetRealParameter[1-2] PN: 1206, PV: 200.000000, rc: 0
[2025-12-11 12:17:23:34] P9078_AxisSetRealParameter[1-2] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:35] P9078_AxisSetRealParameter[1-2] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:36] P9078_AxisSetBacklash[1-2], backlash: 0.000000, rc: 0
[2025-12-11 12:17:23:37] P9078_AxisSetMaxVelocity[1-2], vel: 50.000000, rc: 0
[2025-12-11 12:17:23:38] P9078_AxisSetMaxAcceleration[1-2], acc: 200.000000, rc: 0
[2025-12-11 12:17:23:39] P9078_AxisSetParameter[1-2] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:23:40] P9078_AxisSetMinPositionLimit[1-2], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:41] P9078_AxisSetMaxPositionLimit[1-2], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:63] P9078_AxisSetParameter[1-3] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:23:64] P9078_AxisSetRealParameter[1-3] PN: 1206, PV: 10000.000000, rc: 0
[2025-12-11 12:17:23:65] P9078_AxisSetRealParameter[1-3] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:66] P9078_AxisSetRealParameter[1-3] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:67] P9078_AxisSetBacklash[1-3], backlash: 0.000000, rc: 0
[2025-12-11 12:17:23:68] P9078_AxisSetMaxVelocity[1-3], vel: 50.000000, rc: 0
[2025-12-11 12:17:23:69] P9078_AxisSetMaxAcceleration[1-3], acc: 80.000000, rc: 0
[2025-12-11 12:17:23:70] P9078_AxisSetParameter[1-3] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:23:71] P9078_AxisSetMinPositionLimit[1-3], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:72] P9078_AxisSetMaxPositionLimit[1-3], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:94] P9078_AxisSetParameter[1-4] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:23:95] P9078_AxisSetRealParameter[1-4] PN: 1206, PV: 10000.000000, rc: 0
[2025-12-11 12:17:23:96] P9078_AxisSetRealParameter[1-4] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:97] P9078_AxisSetRealParameter[1-4] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:98] P9078_AxisSetBacklash[1-4], backlash: 0.000000, rc: 0
[2025-12-11 12:17:23:99] P9078_AxisSetMaxVelocity[1-4], vel: 50.000000, rc: 0
[2025-12-11 12:17:23:100] P9078_AxisSetMaxAcceleration[1-4], acc: 80.000000, rc: 0
[2025-12-11 12:17:23:101] P9078_AxisSetParameter[1-4] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:23:102] P9078_AxisSetMinPositionLimit[1-4], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:103] P9078_AxisSetMaxPositionLimit[1-4], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:126] P9078_AxisSetParameter[1-5] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:23:127] P9078_AxisSetRealParameter[1-5] PN: 1206, PV: 10000.000000, rc: 0
[2025-12-11 12:17:23:128] P9078_AxisSetRealParameter[1-5] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:129] P9078_AxisSetRealParameter[1-5] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:131] P9078_AxisSetBacklash[1-5], backlash: 0.000000, rc: 0
[2025-12-11 12:17:23:132] P9078_AxisSetMaxVelocity[1-5], vel: 50.000000, rc: 0
[2025-12-11 12:17:23:133] P9078_AxisSetMaxAcceleration[1-5], acc: 80.000000, rc: 0
